vial,spot,layer,analyte,mgl
356-21,2,Int,Ammonium and ammonia mg/l,0.99
371-21,17,Int,Ammonium and ammonia mg/l,5.9
368-21,14,Int,Ammonium and ammonia mg/l,3.4
373-21,19,Int,Ammonium and ammonia mg/l,7.7
379-21,15,Int,Ammonium and ammonia mg/l,1.8
379-21,25,Int,Ammonium and ammonia mg/l,1.8
376-21,22,Int,Ammonium and ammonia mg/l,1.6
365-21,11,Int,Ammonium and ammonia mg/l,0.83
370-21,16,Int,Ammonium and ammonia mg/l,1.9
385-21,31,Int,Ammonium and ammonia mg/l,1.1
357-21,3,Int,Ammonium and ammonia mg/l,2.1
366-21,12,Int,Ammonium and ammonia mg/l,1.5
382-21,28,Int,Ammonium and ammonia mg/l,0.61
362-21,8,Int,Ammonium and ammonia mg/l,0.65
378-21,24,Int,Ammonium and ammonia mg/l,0.58
383-21,29,Int,Ammonium and ammonia mg/l,1.1
380-21,26,Int,Ammonium and ammonia mg/l,4.7
359-21,5,Int,Ammonium and ammonia mg/l,1.4
367-21,13,Int,Ammonium and ammonia mg/l,11
372-21,18,Int,Ammonium and ammonia mg/l,4.2
374-21,20,Int,Ammonium and ammonia mg/l,3.6
364-21,10,Int,Ammonium and ammonia mg/l,1.2
355-21,1,Int,Ammonium and ammonia mg/l,4.7
377-21,23,Int,Ammonium and ammonia mg/l,12
360-21,6,Int,Ammonium and ammonia mg/l,1.1
363-21,9,Int,Ammonium and ammonia mg/l,1.5
375-21,21,Int,Ammonium and ammonia mg/l,8.2
361-21,7,Int,Ammonium and ammonia mg/l,1.2
358-21,4,Int,Ammonium and ammonia mg/l,1.8
384-21,30,Int,Ammonium and ammonia mg/l,5.2
344-21,22,Pel,Ammonium and ammonia mg/l,0.026
341-21,19,Pel,Ammonium and ammonia mg/l,0.064
350-21,28,Pel,Ammonium and ammonia mg/l,0.021
343-21,21,Pel,Ammonium and ammonia mg/l,0.023
351-21,29,Pel,Ammonium and ammonia mg/l,0.021
353-21,31,Pel,Ammonium and ammonia mg/l,0.023
346-21,24,Pel,Ammonium and ammonia mg/l,0.061
331-21,9,Pel,Ammonium and ammonia mg/l,0.022
348-21,26,Pel,Ammonium and ammonia mg/l,0.047
347-21,25,Pel,Ammonium and ammonia mg/l,0.03
332-21,10,Pel,Ammonium and ammonia mg/l,0.013
330-21,8,Pel,Ammonium and ammonia mg/l,0.011
333-21,11,Pel,Ammonium and ammonia mg/l,0.029
342-21,20,Pel,Ammonium and ammonia mg/l,0.024
327-21,5,Pel,Ammonium and ammonia mg/l,0.065
329-21,7,Pel,Ammonium and ammonia mg/l,0.02
352-21,30,Pel,Ammonium and ammonia mg/l,0.013
334-21,12,Pel,Ammonium and ammonia mg/l,0.024
